AIRFOIL_CODE,ATTACK_ANGLE,KJ_LIFT,STD_LIFT,MEAN_CAMBER_Y_VALS,THICKNESSES
10,-14,-1.449382,-1.404309, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,-12,-1.245623,-1.216653, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,-10,-1.040346,-1.023069, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,-8,-0.833802,-0.824501, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,-6,-0.626242,-0.621917, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,-4,-0.417919,-0.416302, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,-2,-0.209087,-0.208659, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,0,0,0, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,2,0.209087,0.208659, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,4,0.417919,0.416302, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,6,0.626242,0.621917, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,8,0.833802,0.824501, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,10,1.040346,1.023069, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,12,1.245623,1.216653, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
10,14,1.449382,1.404309, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.039023  0.047813  0.050014  0.048358  0.044117  0.038028  0.030533  0.021859  0.012064  0.00105 ]
12,-14,-1.510226,-1.463386, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,-12,-1.297914,-1.267836, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,-10,-1.08402,-1.066108, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,-8,-0.868805,-0.859187, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,-6,-0.652531,-0.64808, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,-4,-0.435463,-0.433815, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,-2,-0.217864,-0.217437, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,0,0,0, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,2,0.217864,0.217437, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,4,0.435463,0.433815, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,6,0.652531,0.64808, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,8,0.868805,0.859187, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,10,1.08402,1.066108, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,12,1.297914,1.267836, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
12,14,1.510226,1.463386, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.046828  0.057375  0.060017  0.05803  0.05294  0.045634  0.036639  0.026231  0.014477  0.00126 ]
14,-14,-1.560277,-1.511977, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,-12,-1.340928,-1.309933, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,-10,-1.119945,-1.101508, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,-8,-0.897598,-0.887716, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,-6,-0.674157,-0.669599, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,-4,-0.449895,-0.44822, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,-2,-0.225085,-0.224657, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,0,0,0, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,2,0.225085,0.224657, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,4,0.449895,0.44822, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,6,0.674157,0.669599, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,8,0.897598,0.887716, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,10,1.119945,1.101508, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,12,1.340928,1.309933, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
14,14,1.560277,1.511977, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.054632  0.066938  0.07002  0.067702  0.061764  0.053239  0.042746  0.030603  0.01689  0.00147 ]
16,-14,-1.603627,-1.554054, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,-12,-1.378183,-1.346388, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,-10,-1.151061,-1.132162, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,-8,-0.922536,-0.91242, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,-6,-0.692887,-0.688233, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,-4,-0.462394,-0.460694, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,-2,-0.231338,-0.230909, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,0,0,0, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,2,0.231338,0.230909, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,4,0.462394,0.460694, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,6,0.692887,0.688233, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,8,0.922536,0.91242, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,10,1.151061,1.132162, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,12,1.378183,1.346388, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
16,14,1.603627,1.554054, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.062437  0.076501  0.080023  0.077373  0.070587  0.060845  0.048852  0.034975  0.019303  0.00168 ]
18,-14,-1.64261,-1.591886, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,-12,-1.411686,-1.379164, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,-10,-1.179043,-1.159723, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,-8,-0.944963,-0.934632, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,-6,-0.709731,-0.704988, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,-4,-0.473635,-0.471909, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,-2,-0.236962,-0.23653, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,0,0,0, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,2,0.236962,0.23653, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,4,0.473635,0.471909, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,6,0.709731,0.704988, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,8,0.944963,0.934632, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,10,1.179043,1.159723, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,12,1.411686,1.379164, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
18,14,1.64261,1.591886, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.070242  0.086063  0.090026  0.087045  0.07941  0.068451  0.054959  0.039347  0.021716  0.00189 ]
20,-14,-1.678632,-1.626836, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,-12,-1.442644,-1.409444, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,-10,-1.204899,-1.185185, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,-8,-0.965685,-0.955152, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,-6,-0.725295,-0.720466, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,-4,-0.484022,-0.48227, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,-2,-0.242158,-0.241724, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,0,0,0, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,2,0.242158,0.241724, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,4,0.484022,0.48227, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,6,0.725295,0.720466, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,8,0.965685,0.955152, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,10,1.204899,1.185185, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,12,1.442644,1.409444, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
20,14,1.678632,1.626836, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.078046  0.095626  0.10003  0.096717  0.088234  0.076056  0.061065  0.043719  0.024129  0.0021 ]
22,-14,-1.712577,-1.659766, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,-12,-1.471817,-1.437973, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,-10,-1.229264,-1.209175, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,-8,-0.985213,-0.974486, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,-6,-0.739962,-0.735049, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,-4,-0.493809,-0.492031, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,-2,-0.247055,-0.246616, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,0,0,0, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,2,0.247055,0.246616, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,4,0.493809,0.492031, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,6,0.739962,0.735049, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,8,0.985213,0.974486, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,10,1.229264,1.209175, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,12,1.471817,1.437973, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
22,14,1.712577,1.659766, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.085851  0.10519  0.11003  0.10639  0.097057  0.083662  0.067172  0.04809  0.026541  0.00231 ]
24,-14,-1.745023,-1.691236, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.093655  0.11475  0.12003  0.11606  0.10588  0.091267  0.073278  0.052462  0.028954  0.00252 ]
24,-12,-1.499702,-1.465238, [ 0  0  0  0  0  0  0  0  0  0  0 ],[ 0  0.093655  0.11475  0.12003  0.11606  0.10588  0.091267  0.073278  0.052462  0.028954  0.00252 ]
